iterations per agent,number of agents,random seed,average utility of best design,smax,smin,t_init,t_phase1,number of created designs,utility param,number of same designs
4,10,3,0.14865511767615497,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.000185042001248803,14,30,2
5,10,3,0.1552308827484366,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.0001867079990915954,19,30,4
6,10,3,0.15764460636073732,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018491699847800191,21,30,4
7,10,3,0.1660267163580082,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018520800040278118,26,30,4
8,10,3,0.18267011512868364,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018645899945113342,32,30,5
9,10,3,0.1885434522921886,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018599999930302147,36,30,5
10,10,3,0.19627961225280716,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018699999964155722,40,30,7
11,10,3,0.2027081710551149,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018529200133343693,42,30,8
12,10,3,0.2027081710551149,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00019149999934597872,45,30,10
13,10,3,0.20860550830294286,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.000183291998837376,47,30,11
14,10,3,0.20860550830294286,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.0001819159988372121,48,30,11
15,10,3,0.20860550830294286,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018237499898532405,48,30,13
16,10,3,0.209438380952545,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018674999955692329,50,30,16
17,10,3,0.21741597587676204,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.0001846249997470295,51,30,18
18,10,3,0.22576190749775957,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.0011982079995505046,54,30,19
19,10,3,0.22576190749775957,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.000720042000466492,57,30,20
20,10,3,0.22576190749775957,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.0008769169999141013,57,30,23
21,10,3,0.22576190749775957,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00021629200091410894,59,30,25
22,10,3,0.2434909001810442,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00020166700051049702,65,30,27
23,10,3,0.24997450847663227,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00019145800069964025,68,30,28
24,10,3,0.24997450847663227,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00018845799968403298,71,30,28
25,10,3,0.26524278507910937,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.0001967919997696299,75,30,30
