,iterations per agent,number of agents,random seed,average utility of best design,smax,smin,number of created designs
181,49,10,6,0.247625559336268,0.9573138562129956,0.1085813497119015,167
182,0,10,7,0.1581682976065617,0.8762854081054308,0.1581682976065617,1
183,1,10,7,0.159311391218555,0.8762854081054308,0.1581682976065617,6
184,3,10,7,0.1608755530534948,0.8762854081054308,0.1581682976065617,15
185,5,10,7,0.1632413819273493,0.8762854081054308,0.1581682976065617,25
186,7,10,7,0.1675857316775397,0.8762854081054308,0.1581682976065617,35
187,9,10,7,0.1675857316775397,0.8762854081054308,0.1581682976065617,43
188,11,10,7,0.1679135592303386,0.8762854081054308,0.1581682976065617,46
189,13,10,7,0.1706119218196495,0.8762854081054308,0.1581682976065617,56
190,15,10,7,0.1728148007976134,0.8762854081054308,0.1581682976065617,62
191,17,10,7,0.1749893138648598,0.8762854081054308,0.1581682976065617,70
192,19,10,7,0.1749893138648598,0.8762854081054308,0.1581682976065617,77
193,21,10,7,0.1774013628535593,0.8762854081054308,0.1581682976065617,87
194,23,10,7,0.1819884469568916,0.8762854081054308,0.1581682976065617,95
195,25,10,7,0.1886526331106444,0.8762854081054308,0.1581682976065617,102
196,27,10,7,0.1886526331106444,0.8762854081054308,0.1581682976065617,106
197,29,10,7,0.1886526331106444,0.8762854081054308,0.1581682976065617,110
198,31,10,7,0.1901950856261292,0.8762854081054308,0.1581682976065617,115
199,33,10,7,0.1915201523773741,0.8762854081054308,0.1581682976065617,121
200,35,10,7,0.1915201523773741,0.8762854081054308,0.1581682976065617,128
201,37,10,7,0.1915201523773741,0.8762854081054308,0.1581682976065617,134
202,39,10,7,0.1915201523773741,0.8762854081054308,0.1581682976065617,138
203,41,10,7,0.1973273986139617,0.8762854081054308,0.1581682976065617,142
204,43,10,7,0.2027718878804891,0.8762854081054308,0.1581682976065617,146
205,45,10,7,0.2027718878804891,0.8762854081054308,0.1581682976065617,151
206,47,10,7,0.2027718878804891,0.8762854081054308,0.1581682976065617,155
207,49,10,7,0.2027718878804891,0.8762854081054308,0.1581682976065617,158
208,0,10,8,0.1301676003236835,0.850919649085187,0.1301676003236835,1
209,1,10,8,0.1319952730795109,0.850919649085187,0.1301676003236835,5
210,3,10,8,0.1478960133667152,0.850919649085187,0.1301676003236835,14
211,5,10,8,0.1525374835655225,0.850919649085187,0.1301676003236835,24
212,7,10,8,0.1632760880310987,0.850919649085187,0.1301676003236835,30
213,9,10,8,0.1680364812361141,0.850919649085187,0.1301676003236835,34
214,11,10,8,0.1848112588816072,0.850919649085187,0.1301676003236835,44
215,13,10,8,0.1951166725794457,0.850919649085187,0.1301676003236835,52
216,15,10,8,0.20993767898869,0.850919649085187,0.1301676003236835,59
217,17,10,8,0.2153853154701501,0.850919649085187,0.1301676003236835,68
218,19,10,8,0.2154756321408349,0.850919649085187,0.1301676003236835,72
219,21,10,8,0.2208201753396167,0.850919649085187,0.1301676003236835,78
220,23,10,8,0.226331460654555,0.850919649085187,0.1301676003236835,82
221,25,10,8,0.2318662743333404,0.850919649085187,0.1301676003236835,86
222,27,10,8,0.2373866323607635,0.850919649085187,0.1301676003236835,92
223,29,10,8,0.237396866507329,0.850919649085187,0.1301676003236835,96
224,31,10,8,0.2482709968752844,0.850919649085187,0.1301676003236835,102
225,33,10,8,0.2589851539099275,0.850919649085187,0.1301676003236835,112
226,35,10,8,0.2642602820739603,0.850919649085187,0.1301676003236835,117
227,37,10,8,0.2642602820739603,0.850919649085187,0.1301676003236835,120
228,39,10,8,0.2642602820739603,0.850919649085187,0.1301676003236835,124
229,41,10,8,0.2642602820739603,0.850919649085187,0.1301676003236835,129
230,43,10,8,0.2694330131533925,0.850919649085187,0.1301676003236835,132
231,45,10,8,0.2694330131533925,0.850919649085187,0.1301676003236835,136
232,47,10,8,0.2744573497305819,0.850919649085187,0.1301676003236835,141
233,49,10,8,0.2744573497305819,0.850919649085187,0.1301676003236835,147
234,0,10,10,0.11395440188928,0.8300205700076386,0.11395440188928,1
235,1,10,10,0.1156566505540264,0.8300205700076386,0.11395440188928,7
236,3,10,10,0.1196251366341153,0.8300205700076386,0.11395440188928,16
237,5,10,10,0.1200271341676799,0.8300205700076386,0.11395440188928,22
238,7,10,10,0.1220805712963266,0.8300205700076386,0.11395440188928,27
239,9,10,10,0.1244192342632966,0.8300205700076386,0.11395440188928,35
240,11,10,10,0.1270263511212969,0.8300205700076386,0.11395440188928,42
241,13,10,10,0.1343654941362217,0.8300205700076386,0.11395440188928,49
242,15,10,10,0.1395236935194713,0.8300205700076386,0.11395440188928,54
