number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
100,6,0.18186591158654117,0.18186591158654117,0.8308723491438699,0.1470864911620456,76,30,24,0.5,0.1509458956809845
200,6,0.2324090368753116,0.22798917463330887,0.8347642346652752,0.14454809615392622,129,30,98,0.5,0.16094482311846067
300,6,0.23853842112441223,0.2193911646991758,0.8386424720024394,0.14601976854822218,195,30,209,0.5,0.16107183247222576
400,6,0.21503558911295387,0.20309753221341686,0.8387311708033605,0.14834807879582554,245,30,367,0.5,0.1618446246078011
500,6,0.3345025135440434,0.33351532105063475,0.8342539873813507,0.1421724398438485,293,30,581,0.5,0.18613880372031877
600,6,0.2143243687234937,0.21007192898794586,0.8364715808905034,0.14106731634360256,342,30,832,0.5,0.15700624959072867
700,6,0.28465133420863487,0.2725624877969667,0.8367583925710047,0.13932970082401955,412,30,1152,0.5,0.16322050451875697
800,6,0.23266722641210114,0.22460182382480948,0.837773064013697,0.13816335059430254,427,30,1534,0.5,0.16334952356375376
900,6,0.44338887817268735,0.44338887817268735,0.838419264646982,0.13771777900520646,456,30,1956,0.5,0.28079809014673174
1000,6,0.367272827784744,0.3667531438817426,0.837307808018339,0.13809260790599992,487,30,2422,0.5,0.1940325858144899
100,7,0.1439535668956747,0.14386753079054512,0.8381104587256093,0.12576144309139345,76,30,25,0.5,0.12789056659340664
200,7,0.172299911798494,0.16783081399829614,0.8381538620724259,0.1240968136575343,140,30,81,0.5,0.14124948339382304
300,7,0.18452087751708976,0.1703753852713423,0.843963846437402,0.12575609934341386,178,30,185,0.5,0.13823306420132875
400,7,0.1724877607023807,0.16089191154959098,0.8478722474778623,0.1263599548156363,265,30,331,0.5,0.13801739432342752
500,7,0.23363764445169305,0.22987298994116062,0.8491943244061831,0.12703603916292966,305,30,535,0.5,0.15648388213349151
600,7,0.23604724159740917,0.2306503505867833,0.8457777762577501,0.12749753386257257,345,30,781,0.5,0.15740878609748962
700,7,0.229576734932595,0.2272710973736376,0.845989083349745,0.12815842380232578,372,30,1116,0.5,0.1624523497382404
800,7,0.2394454423654932,0.2347790053507129,0.8458356159109007,0.12586774144313576,420,30,1509,0.5,0.1444863411511222
900,7,0.39006851998593833,0.3833480258680807,0.8473757815019566,0.12495940084055707,449,30,1987,0.5,0.19428443960671715
1000,7,0.41334305612556754,0.41334305612556754,0.8458008616482046,0.12533354319373055,511,30,2499,0.5,0.21554075874448259
100,8,0.25696132322238574,0.25696132322238574,0.8088581373319537,0.12822076808722035,76,30,18,0.5,0.19148588474461523
200,8,0.4373161536510238,0.43599946838969555,0.8137283030991881,0.14727181534262818,128,30,91,0.5,0.2902403467342749
300,8,0.44536905861275583,0.43838988000168333,0.810932492985556,0.14462975437620576,167,30,209,0.5,0.3205313883181165
400,8,0.5532436112452509,0.5478465298285078,0.8123239098147224,0.14080471191874178,243,30,394,0.5,0.36986843248603113
500,8,0.5481139197153921,0.5481139197153921,0.811496756595847,0.1431092368819053,241,30,654,0.5,0.39083498569334746
600,8,0.5626330207694956,0.5589039922427409,0.8118270420386063,0.14140557081889676,304,30,967,0.5,0.4340714045413723
700,8,0.5781261171051358,0.5775043935600247,0.8129539502723315,0.13857937772382084,347,30,1315,0.5,0.4778161301380813
800,8,0.5564737967602829,0.5483023513201858,0.8130793168706107,0.13996049864597704,432,30,1723,0.5,0.3865325216189011
900,8,0.5817316899639099,0.5778192376842987,0.8139158149649408,0.139507682360296,425,30,2194,0.5,0.4700112436687517
1000,8,0.5792821094227188,0.5778466524193759,0.8115925995702892,0.13953460067285892,439,30,2756,0.5,0.5103214724491628
