number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
310,8,0.49597839273437444,0.4959673732507472,0.5409179778796607,0.4951140479976645,1,40,592
410,8,0.49225557906360257,0.492217277934246,0.5331703019063643,0.49127221768835444,1,40,1022
510,8,0.49599591545727095,0.495863712065542,0.5219789495473327,0.4951602803698919,1,40,1561
610,8,0.4919397936824314,0.49190623791816196,0.52073512730352,0.49156175451238343,1,40,2187
710,8,0.48917696238001046,0.4891279491152787,0.5188788212472718,0.4888566385441818,1,40,2901
810,8,0.49025350659708666,0.4885060136718489,0.519142615590095,0.48838876749293425,1,40,3718
910,8,0.490182287312484,0.49010689541836866,0.5179274148826113,0.48970607055272414,1,40,4619
10,9,0.3341576031022276,0.3341576031022276,0.7210968700389843,0.33323939314496315,11,40,0
110,9,0.5193635037576498,0.5193635037576498,0.5495440057419201,0.5185481295329041,38,40,67
210,9,0.5077236144232957,0.5076224574649026,0.537372416249391,0.5070122244948287,1,40,261
310,9,0.5074385652301624,0.5074385652301624,0.5246418429156996,0.507325478441337,1,40,560
410,9,0.5111917725669701,0.5111864573714551,0.5208391545376307,0.510174363021204,1,40,959
510,9,0.5023496802518915,0.5018195426060139,0.5194990684485409,0.5010330233643734,1,40,1461
610,9,0.5043464562609,0.5043464562608999,0.5204214892096797,0.5027242783278003,1,40,2074
710,9,0.5045033772785765,0.5042903326468611,0.5171190823666263,0.5036927331372496,1,40,2745
810,9,0.5038206995333493,0.5036907606503718,0.5166818762873394,0.5028122437426271,1,40,3533
910,9,0.5059798740926846,0.5055559100353242,0.5147665521236886,0.5048728748043929,1,40,4442
