number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
263,15,0.5029758482509687,0.5016301275804244,0.8225386153245701,0.14107061228680437,150,30,262,0.5,0.30149997909759974
379,15,0.6662217648598259,0.6662217648598259,0.8262864328155602,0.1370100525864814,234,30,394,0.5,0.4483291866848935
545,15,0.5130050983401029,0.4986856881448325,0.8246476861102249,0.13718231670459363,251,30,678,0.5,0.2668124809544003
784,15,0.4934892212204552,0.48408642171429395,0.826878136488943,0.13740769882348955,398,30,1091,0.5,0.3366540541038232
1128,15,0.5427491317961103,0.5427491317961103,0.8269477036417902,0.13669122268921824,505,30,1716,0.5,0.45264419833270064
1623,15,0.7663381169045701,0.7630010179509763,0.8280283672294193,0.13954922071892922,488,30,2774,0.5,0.6651337982967336
2335,15,0.7664618418867652,0.7663476061673724,0.8281388242251816,0.14172072616698267,532,30,4421,0.5,0.6800816302732757
3359,15,0.6208225203618132,0.6095174781458864,0.8273112967567772,0.14329770396535915,1015,30,6690,0.5,0.5212768494482456
4832,15,0.7647076783576627,0.7634479902745311,0.8262898289602785,0.14496570214698518,702,30,10437,0.5,0.6797243493515499
6951,15,0.6136217267973114,0.6096944051407979,0.8250242758844166,0.1460172067008987,1362,30,15648,0.5,0.5426231979484306
10000,15,0.7657029809712309,0.7631802647153406,0.8247380042920257,0.14642736064160985,732,30,24029,0.5,0.6887418732790841
10,16,0.14404671731783206,0.14404671731783206,0.9103320995566486,0.14003542031362762,11,30,0,0.5,0.14119887532123243
14,16,0.12525434702866747,0.12525434702866747,0.8883836992747585,0.11955393225111448,19,30,1,0.5,0.12107531960925617
20,16,0.18235423435103654,0.18235423435103654,0.8769523893741196,0.17508257709122738,14,30,1,0.5,0.176545796385144
29,16,0.1905832440682872,0.1905832440682872,0.8678882169862178,0.1828015978693383,26,30,3,0.5,0.18421169970720883
42,16,0.2577589781696985,0.2510976078482142,0.8530154616966351,0.19087509401777528,32,30,6,0.5,0.21801755565481323
61,16,0.3331623698445091,0.3331623698445091,0.861452769971304,0.18632714417540988,51,30,22,0.5,0.23980763792148904
88,16,0.3443632357833649,0.33716026466913485,0.8593925018413262,0.18717603298310267,79,30,40,0.5,0.26229505604750886
127,16,0.22843422641920405,0.2163142626993976,0.8560060994959378,0.19671749834520053,98,30,74,0.5,0.2017209344211358
183,16,0.27020609449253014,0.27020609449253014,0.8569794447926539,0.19527183498418288,123,30,136,0.5,0.21028559960259388
263,16,0.4266386501852701,0.42260517873540127,0.8662013316084863,0.18843342966836343,151,30,253,0.5,0.3267877490308956
379,16,0.25593930314247854,0.2468665738935293,0.8640016728265651,0.18818466288720082,235,30,412,0.5,0.20493177190035416
545,16,0.25803950589381747,0.24972449629341129,0.8674242325436864,0.18411546345051946,342,30,622,0.5,0.20294903174626155
784,16,0.34410438431294993,0.33975443806573746,0.8694828059736683,0.18246231115502476,413,30,1015,0.5,0.21457662478124667
1128,16,0.4087775927540391,0.3979905848681393,0.8693729376379411,0.18178720227102207,495,30,1626,0.5,0.26521848012077087
1623,16,0.32289244310757653,0.319170883003668,0.8712357346463513,0.17947902503113405,715,30,2534,0.5,0.22901233985666908
2335,16,0.4697240940608131,0.4674895390967646,0.8686144306158861,0.17778412331842183,892,30,3962,0.5,0.3955360009934621
3359,16,0.43904658975563277,0.43904658975563277,0.8683087298308789,0.18016452825732537,1195,30,6087,0.5,0.27455051298223515
4832,16,0.41149319511146276,0.3969778957805538,0.8673354391229691,0.18054351296754476,1732,30,9215,0.5,0.26751395277814505
6951,16,0.539537233864051,0.5304592370160335,0.8684301327436135,0.18093113107594752,1855,30,14274,0.5,0.4447606464704824
10000,16,0.6082813978008682,0.6082813978008682,0.8672052076553902,0.1808273044126628,2096,30,21953,0.5,0.47462164089168024
10,17,0.13733779023083076,0.13733779023083076,0.9303880589664608,0.13075724535447847,12,30,0,0.5,0.13235059666961146
14,17,0.14655547990217968,0.14655547990217968,0.940135337474829,0.13980683044545936,11,30,0,0.5,0.14113300415432062
20,17,0.13221680066024755,0.13221680066024755,0.9082297553064004,0.10946938229131269,21,30,0,0.5,0.11564312945616276
29,17,0.15531551021322826,0.15531551021322826,0.9018025904348086,0.14026376076624908,28,30,3,0.5,0.14254496073116618
42,17,0.16323930502639603,0.16323930502639603,0.8892945949247503,0.14533193888831497,35,30,7,0.5,0.15047377589331654
61,17,0.19098068621682024,0.19098068621682024,0.8833249732396636,0.14149507458824875,57,30,21,0.5,0.1555333111941529
88,17,0.16977354660628732,0.1615811432788923,0.8795130696360928,0.13787534213334837,65,30,44,0.5,0.14967943215130963
127,17,0.18064322836940072,0.1795216185405879,0.8804346758467259,0.13219146012147281,92,30,86,0.5,0.14965057279140775
183,17,0.19394436166456788,0.19394436166456788,0.879798514419198,0.13998964806041028,120,30,146,0.5,0.1598456477287594
263,17,0.23818613839448577,0.23208114697575205,0.877932008160799,0.14519653732377255,163,30,250,0.5,0.1747593806509487
379,17,0.28178862866499854,0.2792890429965476,0.8765119235188845,0.14302961020880733,237,30,417,0.5,0.1827099565866422
545,17,0.34889027721960775,0.3464183371529212,0.8797923480984223,0.13783671145344226,286,30,679,0.5,0.21816701105149558
784,17,0.38623737304741934,0.3772543697142741,0.8759266093671699,0.1433925923833288,403,30,1053,0.5,0.20627356968406937
